COUNT,AricleTile,ACTIONABLE,CATEGORY,IMPACT,EMPIRICAL EVIDENCE,CONFIDENCE,SOUND,PRECISE
1853,9.6 million links in source code comments: purpose evolution and decay,Encourage developers to maintain links in source code comments,Documentation Practices,Keeping links up-to-date and functional can enhance the understandability and maintainability of the codebase- making it easier for new contributors to get on board,The study shows that links in source code comments are used for various purposes- such as providing context- referring to related resources- or documenting design decisions. Keeping these links functional can improve the overall quality and sustainability of open-source software projects,0.7,YES,YES
539,9.6 million links in source code comments: purpose evolution and decay,Implement versioning or archiving strategies for link targets that evolve over time,Code Standards and Maintainability,Better code quality,NONE,0.6,YES,YES
434,9.6 million links in source code comments:purpose evolution and decay,Encourage developers to use bidirectional traceability when possible,Documentation Practices,Better documentation,NONE,0.4,YES,NO
280,A better approach to track the evolution of static code warnings,Adopt a certain practice when dealing with static code warnings as a mapping problem between two sets,Project Management and Governance,Better project management,NONE,0.8,YES,NO
488,A better approach to track the evolution of static code warnings,Follow a particular evaluation process when comparing the SOA (state-of-the-art)  approach to an improved approach,Code Standards and Maintainability,Better code quality,NONE,0.8,YES,NO
523,A better approach to track the evolution of static code warnings,Implement a particular technique for reducing false negatives in static code warning tracking,Code Standards and Maintainability,Better code quality,NONE,0.8,YES,YES
692,A better approach to track the evolution of static code warnings,Use a specific tool or method for tracking static code warnings,Code Standards and Maintainability,Better code quality,NONE,0.8,YES,YES
1144,A better approach to track the evolution of static code warnings,Use an improved approach to track the evolution of static code warnings instead of the SOA (state-of-the-art) approach,Automated Testing and Quality Assurance,The improved approach significantly reduces false s- resulting in a more accurate tracking of static code warnings,The article presents a comparison between the SOA approach and the proposed approach- showing that the latter signiﬁcantly outperforms the former in terms of the tracking precision,1,YES,NO
920,A better approach to track the evolution of static code warnings,When dealing with static code warnings- consider them as a mapping problem between two sets instead of deciding it as a matched pair directly,Automated Testing and Quality Assurance,This approach allows for more accurate tracking and reduces false negatives,The article demonstrates the effectiveness of this method by comparing it to the SOA (state-of-the-art)  approach and showing that it signiﬁcantly outperforms it in terms of precision,1,YES,NO
1000,A better approach to track the evolution of static code warnings,When evaluating an improved approach- consider using open-source software systems beyond just JClouds and Kafka,Project Management and Governance,This ensures a more comprehensive evaluation of the proposed approach and provides a better understanding of its performance across different systems,The article includes two additional open-source software systems (Spring-boot and Guava) in its evaluation- demonstrating the generalizability of the improved approach,1,YES,NO
381,A case study of a corporate open source development model,Design software with a modular and flexible architecture,Code Standards and Maintainability,It accommodates diverse customizations without compromising the integrity of the core product,NONE,0.5,NO,NO
223,A case study of implicit mentoring its prevalence and impact in Apache,Include implicit mentorship in contributor profile pages on OSS communities' platforms,New Contributor Onboarding and Involvement,Attraction of newcomers to the project.,Lightweight mechanisms to acknowledge mentors- such as attribution tags- can help make mentoring sustainable in OSS projects.,0.8,YES,YES
